frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
8,0.95,-0.202,1.09,0.811,-9.7,-4.7,7.05,null,null
9,0.95,-0.137,0.798,0.639,-4.61,-9.64,30.06,null,null
10,0.95,-0.072,0.635,0.535,0.24,-6.93,10.65,null,null
11,0.95,-0.097,0.72,0.669,1.59,4.43,4.03,null,null
12,0.95,-0.086,0.748,0.628,-5.62,-1.53,0.34,null,null
13,0.95,-0.088,0.77,0.64,2.56,-3.48,2.35,null,null
14,0.95,-0.082,0.749,0.609,5.25,-3.36,1.34,null,null
15,0.95,-0.074,0.731,0.603,0.76,3.81,-1.68,null,null
16,0.95,-0.082,0.781,0.621,1.37,1.46,-1.5,null,null
17,0.95,-0.09,0.799,0.606,0.64,1.89,-0.34,null,null
18,0.95,-0.086,0.767,0.601,1.5,-0.12,0.37,null,null
19,0.95,-0.093,0.773,0.616,-0.89,-0.52,-0.18,null,null
0,0.95,0.931,-0.295,0.149,2.62,-0.64,-3.2,null,null
1,0.95,0.954,-0.346,0.143,-3.42,2.66,-5.83,null,null
2,0.95,0.941,-0.405,0.12,-6.81,11.41,-31.89,null,null
3,0.95,0.96,-0.434,0.09,-10.56,23.35,-69.0,null,null
4,0.95,0.862,-0.249,0.202,-59.91,40.44,-115.15,null,null
5,0.95,0.673,0.085,0.365,-2.14,66.71,-141.67,null,null
6,0.95,0.558,0.214,0.274,4.61,54.93,-158.02,null,null
7,0.95,0.216,0.305,0.403,24.75,106.63,-207.65,null,null
8,0.95,-0.548,0.664,0.559,-64.27,108.8,-256.75,null,null
9,0.95,-0.274,1.993,0.832,42.6,37.84,-3.27,null,null
10,0.95,-0.166,1.112,0.948,42.51,12.21,1.43,null,null
11,0.95,-0.092,0.699,0.531,13.49,-24.45,29.42,null,null
12,0.95,-0.053,0.659,0.561,-6.1,8.94,2.04,null,null
13,0.95,-0.051,0.735,0.597,2.9,2.14,-2.69,null,null
14,0.95,-0.063,0.777,0.686,-14.95,4.52,0.89,null,null
15,0.95,-0.067,0.773,0.62,-0.49,-4.03,1.31,null,null
16,0.95,-0.061,0.739,0.625,-3.69,0.24,-2.44,null,null
17,0.95,-0.073,0.784,0.589,39.19,-0.95,-6.2,null,null
18,0.95,-0.076,0.795,0.566,7.9,-3.94,0.55,null,null
19,0.95,-0.073,0.778,0.568,0.67,-0.4,-1.28,null,null
0,0.95,0.957,-0.305,0.11,-0.85,2.84,-0.37,null,null
