frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.31,-0.024,0.947,-0.7,1.01,1.68,null,null
1,0.95,0.296,-0.036,0.94,-0.34,2.69,2.44,null,null
2,0.95,0.304,-0.021,0.957,-0.89,0.76,-0.55,null,null
3,0.95,0.295,-0.036,0.962,-0.4,-2.14,1.04,null,null
4,0.95,0.23,-0.039,1.034,0.52,2.04,6.65,null,null
5,0.95,0.186,-0.05,1.027,9.55,-55.73,36.62,null,null
6,0.95,0.35,-0.049,0.873,22.58,-58.5,42.05,null,null
7,0.95,0.454,-0.09,0.883,0.73,-37.54,39.64,null,null
8,0.95,0.452,-0.012,0.936,9.28,-21.64,21.76,null,null
9,0.95,0.567,-0.069,0.787,20.08,-28.44,21.49,null,null
10,0.95,0.614,-0.052,0.818,18.13,-6.59,18.62,null,null
11,0.95,0.691,-0.053,0.722,28.81,-5.95,0.55,null,null
12,0.95,0.654,-0.018,0.698,21.97,-5.28,-9.52,null,null
13,0.95,0.62,0.084,0.735,26.31,4.27,-20.14,null,null
14,0.95,0.655,0.034,0.723,10.83,9.25,-10.25,null,null
15,0.95,0.678,0.118,0.704,26.09,42.12,-45.81,null,null
16,0.95,0.618,0.19,0.774,21.79,40.07,-64.09,null,null
17,0.95,0.537,0.293,0.819,17.03,19.32,-54.75,null,null
18,0.95,0.449,0.361,0.881,11.9,-2.47,-35.0,null,null
19,0.95,0.424,0.355,0.868,3.69,3.72,-8.0,null,null
0,0.95,0.265,-0.167,0.99,18.92,-9.4,-5.31,null,null
1,0.95,0.225,-0.128,0.989,23.83,-24.81,16.33,null,null
2,0.95,0.321,-0.159,0.918,2.29,-28.38,27.34,null,null
3,0.95,0.355,-0.111,0.879,10.53,-34.27,22.25,null,null
4,0.95,0.381,-0.077,0.849,2.53,-26.64,27.99,null,null
5,0.95,0.448,-0.13,0.855,-11.41,-39.86,32.69,null,null
6,0.95,0.487,-0.156,0.829,11.14,-25.85,23.56,null,null
7,0.95,0.467,-0.099,0.777,15.56,-13.43,20.75,null,null
8,0.95,0.576,-0.1,0.817,33.2,17.52,-0.98,null,null
9,0.95,0.581,-0.039,0.845,59.51,37.23,-20.75,null,null
10,0.95,0.637,-0.007,0.793,34.15,27.77,-24.41,null,null
11,0.95,0.57,0.094,0.85,6.74,37.26,-56.28,null,null
12,0.95,0.405,0.197,0.857,0.27,17.94,-58.84,null,null
13,0.95,0.395,0.255,0.885,4.03,5.86,-27.16,null,null
14,0.95,0.332,0.25,0.986,4.88,-2.69,2.9,null,null
15,0.95,0.369,0.149,0.903,-0.31,-12.91,13.0,null,null
16,0.95,0.376,0.217,0.912,-3.45,-6.41,-6.71,null,null
17,0.95,0.314,0.283,0.938,2.35,-7.78,-0.4,null,null
18,0.95,0.31,0.197,0.912,7.9,2.04,7.26,null,null
19,0.95,0.348,0.194,0.931,-2.5,10.44,2.81,null,null
0,0.95,0.348,-0.178,0.919,4.46,-19.23,-1.95,null,null
1,0.95,0.404,-0.204,0.888,6.07,-11.66,0.95,null,null
2,0.95,0.367,-0.197,0.946,13.52,-5.43,-17.27,null,null
3,0.95,0.228,-0.113,0.988,29.08,-13.64,-4.58,null,null
4,0.95,0.255,-0.123,0.948,32.23,-23.77,36.5,null,null
5,0.95,0.396,-0.077,0.907,35.46,5.89,25.06,null,null
6,0.95,0.369,0.034,0.977,20.08,7.39,22.06,null,null
7,0.95,0.446,0.071,0.998,39.31,12.85,16.48,null,null
8,0.95,0.506,0.031,0.967,-24.38,-22.98,41.2,null,null
9,0.95,0.588,-0.027,0.821,-20.2,-37.81,12.54,null,null
10,0.95,0.602,-0.036,0.763,-0.79,-20.54,-17.82,null,null
11,0.95,0.576,-0.098,0.75,26.76,27.5,-36.19,null,null
12,0.95,0.58,0.103,0.782,17.94,24.78,-57.1,null,null
13,0.95,0.534,0.14,0.732,8.91,21.52,-66.32,null,null
14,0.95,0.425,0.281,0.806,5.01,13.82,-62.29,null,null
15,0.95,0.377,0.334,0.906,10.77,-1.01,-25.03,null,null
16,0.95,0.357,0.306,0.885,11.72,1.53,-7.63,null,null
17,0.95,0.326,0.307,0.9,9.8,2.29,-1.16,null,null
18,0.95,0.317,0.337,0.887,5.95,4.88,-0.43,null,null
19,0.95,0.322,0.335,0.899,4.12,5.1,2.23,null,null
0,0.95,0.225,-0.106,0.919,-3.66,-6.32,-0.21,null,null
1,0.95,0.265,-0.137,1.055,4.52,-19.35,17.43,null,null
2,0.95,0.249,-0.152,0.979,-0.7,-40.16,47.36,null,null
3,0.95,0.272,-0.095,0.803,19.81,-48.68,44.43,null,null
4,0.95,0.358,0.032,0.919,8.97,-36.93,38.48,null,null
5,0.95,0.567,-0.061,0.797,24.17,-34.09,21.88,null,null
6,0.95,0.667,-0.184,0.697,1.43,-33.72,17.64,null,null
7,0.95,0.764,-0.241,0.621,24.96,1.86,-21.67,null,null
8,0.95,0.649,-0.009,0.723,16.14,57.07,-54.17,null,null
9,0.95,0.649,0.087,0.809,24.93,39.31,-37.2,null,null
10,0.95,0.56,0.124,0.82,16.51,24.11,-43.92,null,null
11,0.95,0.531,0.182,0.891,10.71,3.23,-22.98,null,null
12,0.95,0.48,0.158,0.808,7.08,2.41,-2.59,null,null
13,0.95,0.442,0.239,0.867,11.14,11.23,-1.34,null,null
14,0.95,0.442,0.255,0.888,12.27,5.77,7.69,null,null
15,0.95,0.403,0.243,0.881,9.25,-4.73,13.03,null,null
16,0.95,0.39,0.255,0.871,5.37,1.65,9.64,null,null
17,0.95,0.403,0.305,0.9,4.06,4.06,4.94,null,null
18,0.95,0.397,0.236,0.869,5.92,-11.6,9.0,null,null
19,0.95,0.375,0.294,0.862,5.86,0.09,0.98,null,null
0,0.95,0.282,-0.171,0.969,7.66,-31.95,28.78,null,null
1,0.95,0.33,-0.132,0.94,9.37,-16.72,29.54,null,null
2,0.95,0.413,-0.081,0.918,21.58,-21.12,22.77,null,null
3,0.95,0.412,0.025,0.89,21.24,-20.29,16.36,null,null
4,0.95,0.435,0.019,0.886,26.43,-23.01,18.71,null,null
5,0.95,0.539,-0.03,0.784,8.36,-30.46,26.4,null,null
6,0.95,0.642,-0.089,0.731,22.43,-11.72,-8.06,null,null
7,0.95,0.733,-0.126,0.821,-4.15,-3.17,-7.51,null,null
8,0.95,0.628,-0.031,0.688,23.01,6.81,-58.05,null,null
9,0.95,0.664,0.012,0.743,12.91,9.86,-62.29,null,null
10,0.95,0.582,0.225,0.622,78.83,-18.1,-49.35,null,null
11,0.95,0.584,0.342,0.777,10.9,7.32,-36.53,null,null
12,0.95,0.536,0.301,0.77,-1.31,4.67,-14.65,null,null
13,0.95,0.555,0.309,0.764,-3.2,2.26,-1.98,null,null
14,0.95,0.508,0.323,0.799,3.85,-2.56,7.72,null,null
15,0.95,0.526,0.296,0.76,5.4,5.8,7.48,null,null
16,0.95,0.495,0.332,0.832,1.8,5.8,3.02,null,null
17,0.95,0.498,0.314,0.794,7.84,6.5,1.53,null,null
18,0.95,0.527,0.252,0.777,3.66,8.91,-1.25,null,null
19,0.95,0.502,0.381,0.837,-6.62,-0.03,0.92,null,null
0,0.95,0.267,-0.215,0.983,0.7,4.39,2.32,null,null
1,0.95,0.2,-0.183,0.996,5.4,-4.12,-9.58,null,null
