frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
109,2026-07-26T23:42:32.788198+00:00,pull,0,0.945463,session_20260726_234022,0.0,0,[],null,0.0
110,2026-07-26T23:42:32.893260+00:00,pull,0,1.050531,session_20260726_234022,0.0,0,[],null,0.0
111,2026-07-26T23:42:32.998326+00:00,pull,0,1.155605,session_20260726_234022,0.0,0,[],null,0.0
112,2026-07-26T23:42:33.099685+00:00,pull,0,1.256971,session_20260726_234022,0.0,0,[],null,0.0
113,2026-07-26T23:42:33.200982+00:00,pull,0,1.358268,session_20260726_234022,0.0,0,[],null,0.0
114,2026-07-26T23:42:33.302128+00:00,pull,0,1.459406,session_20260726_234022,0.0,0,[],null,0.0
115,2026-07-26T23:42:33.402239+00:00,pull,0,1.559516,session_20260726_234022,0.0,0,[],null,0.0
116,2026-07-26T23:42:33.504105+00:00,pull,0,1.661384,session_20260726_234022,0.0,0,[],null,0.0
117,2026-07-26T23:42:33.609163+00:00,pull,0,1.766438,session_20260726_234022,0.0,0,[],null,0.0
118,2026-07-26T23:42:33.714240+00:00,pull,0,1.871515,session_20260726_234022,0.0,0,[],null,0.0
119,2026-07-26T23:42:33.816335+00:00,pull,0,1.97361,session_20260726_234022,0.0,0,[],null,0.0
120,2026-07-26T23:42:45.019328+00:00,pull,1,5e-05,session_20260726_234022,0.0,0,[],null,0.0
121,2026-07-26T23:42:45.120723+00:00,pull,1,0.101447,session_20260726_234022,0.0,0,[],null,0.0
122,2026-07-26T23:42:45.225593+00:00,pull,1,0.206304,session_20260726_234022,0.0,0,[],null,0.0
123,2026-07-26T23:42:45.326097+00:00,pull,1,0.306804,session_20260726_234022,0.0,0,[],null,0.0
124,2026-07-26T23:42:45.431159+00:00,pull,1,0.411868,session_20260726_234022,0.0,0,[],null,0.0
125,2026-07-26T23:42:45.534719+00:00,pull,1,0.515422,session_20260726_234022,0.0,0,[],null,0.0
126,2026-07-26T23:42:45.638111+00:00,pull,1,0.618814,session_20260726_234022,0.0,0,[],null,0.0
127,2026-07-26T23:42:45.741156+00:00,pull,1,0.721865,session_20260726_234022,0.0,0,[],null,0.0
128,2026-07-26T23:42:45.846210+00:00,pull,1,0.826913,session_20260726_234022,0.0,0,[],null,0.0
129,2026-07-26T23:42:45.951256+00:00,pull,1,0.931956,session_20260726_234022,0.0,0,[],null,0.0
130,2026-07-26T23:42:46.051628+00:00,pull,1,1.032332,session_20260726_234022,0.0,0,[],null,0.0
131,2026-07-26T23:42:46.156681+00:00,pull,1,1.13738,session_20260726_234022,0.0,0,[],null,0.0
132,2026-07-26T23:42:46.261744+00:00,pull,1,1.242459,session_20260726_234022,0.0,0,[],null,0.0
133,2026-07-26T23:42:46.364327+00:00,pull,1,1.345043,session_20260726_234022,0.0,0,[],null,0.0
134,2026-07-26T23:42:46.469391+00:00,pull,1,1.450099,session_20260726_234022,0.0,0,[],null,0.0
135,2026-07-26T23:42:46.570701+00:00,pull,1,1.551411,session_20260726_234022,0.0,0,[],null,0.0
136,2026-07-26T23:42:46.675756+00:00,pull,1,1.656457,session_20260726_234022,0.0,0,[],null,0.0
137,2026-07-26T23:42:46.780800+00:00,pull,1,1.761499,session_20260726_234022,0.0,0,[],null,0.0
138,2026-07-26T23:42:46.885851+00:00,pull,1,1.866558,session_20260726_234022,0.0,0,[],null,0.0
