frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
16,0.95,0.088,0.739,0.595,0.4,-7.6,11.66,null,null
17,0.95,0.122,0.686,0.569,0.12,-3.81,3.11,null,null
18,0.95,0.096,0.78,0.582,-16.05,5.46,-2.47,null,null
19,0.95,0.114,0.777,0.664,-2.04,0.82,-0.21,null,null
0,0.95,0.92,-0.331,0.117,0.61,-5.83,0.12,null,null
1,0.95,0.946,-0.354,0.114,-2.84,0.52,-1.4,null,null
2,0.95,0.969,-0.484,0.073,-3.51,4.24,-9.7,null,null
3,0.95,0.912,-0.522,0.033,-42.39,29.73,-78.01,null,null
4,0.95,0.914,-0.352,0.129,-65.46,27.71,-118.87,null,null
5,0.95,0.779,-0.045,0.225,-58.5,46.11,-157.26,null,null
6,0.95,0.565,0.311,0.296,12.21,81.12,-204.17,null,null
7,0.95,0.308,0.556,0.422,-76.27,-1.59,-139.32,null,null
8,0.95,0.147,0.71,0.677,-18.28,53.16,-169.59,null,null
9,0.95,0.035,0.963,0.539,0.76,1.89,-157.29,null,null
10,0.95,-0.078,1.405,0.6,46.3,26.46,-68.97,null,null
11,0.95,-0.032,0.961,0.556,22.16,2.93,-12.67,null,null
12,0.95,-0.061,0.834,0.365,14.65,-2.53,-3.88,null,null
13,0.95,-0.024,0.822,0.438,-12.91,-3.51,0.27,null,null
14,0.95,-0.035,0.886,0.461,-8.03,0.64,-4.88,null,null
15,0.95,-0.016,0.88,0.518,-25.73,-5.07,7.48,null,null
16,0.95,-0.018,0.848,0.519,-3.02,3.36,-0.12,null,null
17,0.95,-0.003,0.821,0.553,-2.99,2.41,1.62,null,null
18,0.95,-0.029,0.857,0.529,5.86,0.82,0.12,null,null
19,0.95,-0.012,0.832,0.516,-0.31,1.53,2.84,null,null
0,0.95,0.931,-0.345,-0.049,-2.96,-1.34,1.74,null,null
1,0.95,0.938,-0.356,-0.05,-1.59,1.43,-0.46,null,null
2,0.95,0.938,-0.398,-0.077,-4.36,3.33,-4.85,null,null
3,0.95,0.941,-0.547,-0.141,-29.6,15.59,-28.6,null,null
4,0.95,0.953,-0.475,-0.119,-48.74,43.49,-85.85,null,null
5,0.95,0.855,-0.277,0.016,-57.68,76.51,-147.19,null,null
6,0.95,0.655,0.025,0.266,-26.46,96.32,-194.4,null,null
7,0.95,0.256,0.646,0.395,23.59,58.69,-220.13,null,null
8,0.95,0.128,0.754,0.428,0.24,29.76,-193.21,null,null
9,0.95,-0.118,0.914,0.437,-39.31,21.3,-165.99,null,null
10,0.95,-0.234,1.275,0.681,-4.7,29.36,-124.88,null,null
11,0.95,-0.154,1.237,0.581,-33.91,-4.61,-2.08,null,null
12,0.95,-0.131,0.959,0.446,9.67,-10.04,15.32,null,null
13,0.95,-0.04,0.741,0.381,-7.11,0.89,5.62,null,null
14,0.95,-0.063,0.874,0.449,-9.92,6.23,-2.11,null,null
15,0.95,-0.074,0.914,0.495,-0.58,2.53,-4.0,null,null
16,0.95,-0.067,0.887,0.468,-1.43,-4.49,5.16,null,null
17,0.95,-0.057,0.84,0.454,-1.07,0.31,0.64,null,null
18,0.95,-0.058,0.861,0.478,-0.49,1.8,-2.59,null,null
19,0.95,-0.055,0.87,0.487,0.7,1.1,-1.46,null,null
0,0.95,0.98,-0.16,0.134,3.75,2.53,-2.84,null,null
1,0.95,0.971,-0.148,0.138,-3.6,-4.64,5.71,null,null
2,0.95,0.968,-0.179,0.124,-7.51,-3.54,6.29,null,null
3,0.95,0.992,-0.224,0.128,3.14,0.52,-1.31,null,null
4,0.95,1.029,-0.435,0.09,7.14,-0.73,-26.8,null,null
5,0.95,0.995,-0.603,0.026,-20.66,13.64,-93.84,null,null
6,0.95,0.736,-0.117,0.171,-10.86,27.47,-196.91,null,null
7,0.95,0.364,0.519,0.242,18.01,25.27,-238.69,null,null
8,0.95,0.068,0.911,0.27,-8.3,12.51,-197.06,null,null
9,0.95,-0.057,1.053,0.302,2.87,0.52,-155.19,null,null
10,0.95,-0.069,1.294,0.207,-1.65,6.1,-76.3,null,null
11,0.95,-0.059,1.181,0.209,20.57,6.71,-24.38,null,null
12,0.95,-0.058,1.075,0.165,14.59,-1.71,-5.28,null,null
13,0.95,-0.04,0.948,0.172,5.71,-5.34,-3.14,null,null
14,0.95,-0.044,0.96,0.171,3.97,-10.32,-13.18,null,null
15,0.95,-0.072,0.99,0.177,4.61,-15.2,-9.13,null,null
16,0.95,-0.081,0.988,0.16,5.31,-12.63,-5.71,null,null
17,0.95,-0.089,0.962,0.149,0.55,-7.02,-3.63,null,null
18,0.95,-0.09,0.975,0.132,3.27,-1.46,-4.85,null,null
19,0.95,-0.095,0.979,0.149,-0.46,0.55,-2.44,null,null
0,0.95,0.961,-0.287,0.194,3.54,7.39,-12.88,null,null
1,0.95,1.0,-0.488,0.169,-10.59,1.65,-34.36,null,null
2,0.95,0.892,-0.5,0.204,-8.3,20.54,-124.18,null,null
3,0.95,0.669,-0.063,0.302,-15.44,13.34,-195.81,null,null
4,0.95,0.383,0.389,0.241,45.9,9.16,-248.51,null,null
5,0.95,-0.03,0.98,0.198,75.32,3.08,-231.85,null,null
6,0.95,-0.095,1.152,0.187,-1.68,-3.69,-145.3,null,null
7,0.95,-0.118,1.275,0.173,-6.07,5.19,-86.46,null,null
8,0.95,-0.136,1.356,0.219,-27.59,-5.43,-25.85,null,null
9,0.95,-0.08,1.036,0.27,-12.76,-1.19,15.41,null,null
10,0.95,-0.037,0.909,0.254,-2.41,0.55,12.67,null,null
11,0.95,-0.025,0.892,0.28,-1.77,2.38,4.97,null,null
12,0.95,-0.028,0.954,0.288,0.82,0.09,-0.92,null,null
13,0.95,-0.021,0.922,0.298,-7.17,0.92,0.58,null,null
14,0.95,-0.037,0.922,0.308,-8.36,-1.92,-3.42,null,null
15,0.95,-0.038,0.948,0.294,1.25,1.28,-6.62,null,null
16,0.95,-0.048,0.966,0.298,0.61,1.13,-1.5,null,null
17,0.95,-0.049,0.961,0.314,-1.31,-0.03,2.38,null,null
18,0.95,-0.038,0.947,0.288,4.7,-0.21,4.55,null,null
19,0.95,-0.033,0.955,0.285,0.21,-0.64,3.48,null,null
0,0.95,0.999,-0.312,0.356,-6.5,-6.29,-8.55,null,null
1,0.95,0.975,-0.503,0.348,-54.32,-20.91,-79.13,null,null
2,0.95,0.802,-0.191,0.352,-43.24,-16.66,-149.63,null,null
3,0.95,0.633,0.238,0.349,-0.52,-6.44,-188.24,null,null
4,0.95,0.315,0.627,0.166,120.49,-1.22,-221.78,null,null
5,0.95,0.027,0.999,-0.024,29.97,-44.77,-181.83,null,null
6,0.95,-0.099,1.154,0.109,-42.85,-35.77,-125.83,null,null
7,0.95,-0.187,1.18,0.221,-56.98,-23.9,-87.07,null,null
8,0.95,-0.198,1.224,0.336,-53.93,-7.51,-20.63,null,null
9,0.95,-0.117,0.981,0.453,-13.18,-0.92,2.66,null,null
10,0.95,-0.117,0.947,0.37,-8.21,-2.47,6.74,null,null
11,0.95,-0.084,0.882,0.419,-3.57,-4.15,3.02,null,null
12,0.95,-0.081,0.881,0.428,3.57,-1.25,2.9,null,null
13,0.95,-0.083,0.91,0.406,12.45,1.74,2.84,null,null
14,0.95,-0.068,0.892,0.391,4.09,-0.27,1.19,null,null
15,0.95,-0.057,0.891,0.408,3.08,-1.5,0.95,null,null
16,0.95,-0.065,0.901,0.401,1.71,-1.8,-1.07,null,null
17,0.95,-0.077,0.897,0.364,-1.13,0.7,-0.34,null,null
18,0.95,-0.069,0.913,0.39,0.49,0.7,-2.32,null,null
0,0.95,0.952,-0.258,0.188,-4.76,2.23,1.56,null,null
1,0.95,0.96,-0.301,0.185,-8.09,-2.56,-2.08,null,null
2,0.95,1.025,-0.473,0.084,-10.5,-3.69,-15.11,null,null
3,0.95,0.969,-0.504,0.122,-27.41,29.51,-73.46,null,null
4,0.95,0.824,-0.254,0.208,-22.64,37.35,-130.22,null,null
5,0.95,0.718,0.084,0.214,-49.38,35.62,-143.65,null,null
6,0.95,0.531,0.396,0.456,-22.55,74.56,-159.55,null,null
